Time(s),Load(N),Disp(mm)
70.461,13485.653,7.0461
70.701,13492.390,7.0701
70.942,13497.577,7.0942
71.182,13502.811,7.1182
71.423,13507.956,7.1423
71.663,13512.521,7.1663
71.904,13517.149,7.1904
72.144,13520.530,7.2144
72.385,13527.045,7.2385
72.625,13534.457,7.2625
72.866,13538.104,7.2866
73.106,13542.402,7.3106
73.347,13549.774,7.3347
73.587,13554.349,7.3587
73.828,13558.893,7.3828
74.068,13564.964,7.4068
74.309,13569.634,7.4309
74.549,13574.736,7.4549
74.790,13579.093,7.4790
75.030,13582.382,7.5030
75.271,13586.943,7.5271
75.511,13591.174,7.5511
75.752,13598.115,7.5752
75.992,13601.335,7.5992
76.232,13606.742,7.6232
76.473,13612.654,7.6473
76.713,13619.839,7.6713
76.954,13623.837,7.6954
77.194,13628.998,7.7194
77.435,13633.682,7.7435
77.675,13636.701,7.7675
77.916,13643.694,7.7916
78.156,13645.787,7.8156
78.397,13652.905,7.8397
78.637,13656.990,7.8637
78.878,13660.986,7.8878
79.118,13666.591,7.9118
79.359,13673.914,7.9359
79.599,13676.951,7.9599
79.840,13676.971,7.9840
80.080,13685.428,8.0080
80.321,13691.564,8.0321
80.561,13696.637,8.0561
80.802,13700.388,8.0802
81.042,13705.464,8.1042
81.283,13708.389,8.1283
81.523,13714.669,8.1523
81.764,13721.098,8.1764
82.004,13721.670,8.2004
82.244,13728.664,8.2244
82.485,13734.931,8.2485
82.725,13735.600,8.2725
82.966,13744.317,8.2966
83.206,13746.592,8.3206
83.447,13750.541,8.3447
83.687,13754.211,8.3687
83.928,13759.920,8.3928
84.168,13765.379,8.4168
84.409,13768.803,8.4409
84.649,13773.737,8.4649
84.890,13779.364,8.4890
85.130,13782.951,8.5130
85.371,13789.157,8.5371
85.611,13793.565,8.5611
85.852,13797.870,8.5852
86.092,13804.498,8.6092
86.333,13806.810,8.6333
86.573,13810.365,8.6573
86.814,13814.497,8.6814
87.054,13819.561,8.7054
87.295,13826.170,8.7295
87.535,13828.377,8.7535
87.776,13834.181,8.7776
88.016,13837.273,8.8016
88.257,13843.303,8.8257
88.497,13847.311,8.8497
88.737,13850.302,8.8737
88.978,13859.736,8.8978
89.218,13859.162,8.9218
89.459,13864.471,8.9459
89.699,13869.590,8.9699
89.940,13874.643,8.9940
90.180,13870.328,9.0180
90.421,13868.240,9.0421
90.661,13865.047,9.0661
90.902,13857.450,9.0902
91.142,13843.185,9.1142
91.383,13841.452,9.1383
91.623,13833.713,9.1623
91.864,13825.406,9.1864
92.104,13814.785,9.2104
92.345,13801.742,9.2345
92.585,13791.188,9.2585
92.826,13777.179,9.2826
93.066,13766.818,9.3066
93.307,13753.725,9.3307
93.547,13737.362,9.3547
93.788,13725.154,9.3788
94.028,13709.209,9.4028
94.269,13694.191,9.4269
94.509,13679.024,9.4509
94.749,13662.839,9.4749
94.990,13646.734,9.4990
95.230,13629.825,9.5230
95.471,13611.083,9.5471
95.711,13595.201,9.5711
95.952,13575.575,9.5952
96.192,13556.643,9.6192
96.433,13543.271,9.6433
96.673,13521.813,9.6673
96.914,13503.782,9.6914
97.154,13483.674,9.7154
97.395,13462.310,9.7395
97.635,13440.121,9.7635
97.876,13420.621,9.7876
98.116,13397.914,9.8116
98.357,13378.056,9.8357
98.597,13357.942,9.8597
98.838,13335.201,9.8838
99.078,13313.271,9.9078
99.319,13289.571,9.9319
99.559,13268.521,9.9559
99.800,13242.613,9.9800
100.040,13222.266,10.0040
100.281,13197.545,10.0281
100.521,13174.750,10.0521
100.762,13150.839,10.0762
101.002,13124.596,10.1002
101.242,13100.057,10.1242
101.483,13076.569,10.1483
101.723,13052.044,10.1723
101.964,13024.551,10.1964
102.204,13000.593,10.2204
102.445,12971.972,10.2445
102.685,12946.390,10.2685
102.926,12921.557,10.2926
103.166,12894.066,10.3166
103.407,12865.599,10.3407
103.647,12839.693,10.3647
103.888,12811.867,10.3888
104.128,12784.903,10.4128
104.369,12755.675,10.4369
104.609,12727.874,10.4609
104.850,12698.240,10.4850
105.090,12670.692,10.5090
105.331,12640.832,10.5331
105.571,12611.948,10.5571
105.812,12583.523,10.5812
106.052,12553.227,10.6052
106.293,12524.154,10.6293
106.533,12493.482,10.6533
106.774,12464.707,10.6774
107.014,12433.318,10.7014
107.255,12402.679,10.7255
107.495,12372.812,10.7495
107.735,12339.793,10.7735
107.976,12307.539,10.7976
108.216,12278.479,10.8216
108.457,12248.097,10.8457
108.697,12215.869,10.8697
108.938,12180.014,10.8938
109.178,12150.588,10.9178
109.419,12115.881,10.9419
109.659,12083.349,10.9659
109.900,12053.702,10.9900
110.140,12015.759,11.0140
110.381,11986.107,11.0381
110.621,11951.534,11.0621
110.862,11919.115,11.0862
111.102,11882.725,11.1102
111.343,11852.093,11.1343
111.583,11816.923,11.1583
111.824,11779.875,11.1824
112.064,11744.817,11.2064
112.305,11710.634,11.2305
112.545,11674.988,11.2545
112.786,11638.357,11.2786
113.026,11606.947,11.3026
113.267,11570.608,11.3267
113.507,11532.039,11.3507
113.747,11502.734,11.3747
113.988,11461.571,11.3988
114.228,11423.500,11.4228
114.469,11391.635,11.4469
114.709,11353.713,11.4709
114.950,11315.187,11.4950
115.190,11279.241,11.5190
115.431,11241.882,11.5431
115.671,11202.696,11.5671
115.912,11167.083,11.5912
116.152,11129.384,11.6152
116.393,11089.680,11.6393
116.633,11053.831,11.6633
116.874,11013.535,11.6874
117.114,10971.774,11.7114
117.355,10936.191,11.7355
117.595,10897.416,11.7595
117.836,10858.335,11.7836
118.076,10816.857,11.8076
118.317,10779.517,11.8317
118.557,10740.012,11.8557
118.798,10700.987,11.8798
119.038,10662.914,11.9038
119.279,10616.929,11.9279
119.519,10581.222,11.9519
119.760,10538.325,11.9760
120.000,10502.032,12.0000
